Time[y],reactor_In[t],Reactor_Out[t],Inv[t],92234[t],92235[t],92236[t],92238[t],94238[t],94239[t],94240[t],94241[t],94242[t],95241[t],95242[t],95243[t],96242[t],96243[t],96244[t],96245[t],93237[t],
0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.0833333,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.166667,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.25,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.333333,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.416667,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.5,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.583333,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.666667,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.75,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.833333,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.916667,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.08333,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.16667,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.25,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.33333,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.41667,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.5,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.58333,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.66667,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.75,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.83333,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.91667,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.08333,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.16667,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.25,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.33333,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.41667,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.5,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.58333,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.66667,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.75,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.83333,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.91667,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,164,82,82,0.000222235,0.444322,0.352015,76.5918,0.0196702,0.467423,0.213715,0.138242,0.0719126,0.00346631,7.027e-05,0.0165495,0.00181437,4.73089e-05,0.0067794,0.000433893,0.0448674,
3.08333,164,82,82,0.000222235,0.444322,0.352015,76.5918,0.0196702,0.467423,0.213715,0.138242,0.0719126,0.00346631,7.027e-05,0.0165495,0.00181437,4.73089e-05,0.0067794,0.000433893,0.0448674,
3.16667,164,82,82,0.000222235,0.444322,0.352015,76.5918,0.0196702,0.467423,0.213715,0.138242,0.0719126,0.00346631,7.027e-05,0.0165495,0.00181437,4.73089e-05,0.0067794,0.000433893,0.0448674,
3.25,164,82,82,0.000222235,0.444322,0.352015,76.5918,0.0196702,0.467423,0.213715,0.138242,0.0719126,0.00346631,7.027e-05,0.0165495,0.00181437,4.73089e-05,0.0067794,0.000433893,0.0448674,
3.33333,164,82,82,0.000222235,0.444322,0.352015,76.5918,0.0196702,0.467423,0.213715,0.138242,0.0719126,0.00346631,7.027e-05,0.0165495,0.00181437,4.73089e-05,0.0067794,0.000433893,0.0448674,
3.41667,164,82,82,0.000222235,0.444322,0.352015,76.5918,0.0196702,0.467423,0.213715,0.138242,0.0719126,0.00346631,7.027e-05,0.0165495,0.00181437,4.73089e-05,0.0067794,0.000433893,0.0448674,
3.5,164,82,82,0.000222235,0.444322,0.352015,76.5918,0.0196702,0.467423,0.213715,0.138242,0.0719126,0.00346631,7.027e-05,0.0165495,0.00181437,4.73089e-05,0.0067794,0.000433893,0.0448674,
3.58333,164,82,82,0.000222235,0.444322,0.352015,76.5918,0.0196702,0.467423,0.213715,0.138242,0.0719126,0.00346631,7.027e-05,0.0165495,0.00181437,4.73089e-05,0.0067794,0.000433893,0.0448674,
3.66667,164,82,82,0.000222235,0.444322,0.352015,76.5918,0.0196702,0.467423,0.213715,0.138242,0.0719126,0.00346631,7.027e-05,0.0165495,0.00181437,4.73089e-05,0.0067794,0.000433893,0.0448674,
3.75,164,82,82,0.000222235,0.444322,0.352015,76.5918,0.0196702,0.467423,0.213715,0.138242,0.0719126,0.00346631,7.027e-05,0.0165495,0.00181437,4.73089e-05,0.0067794,0.000433893,0.0448674,
3.83333,164,82,82,0.000222235,0.444322,0.352015,76.5918,0.0196702,0.467423,0.213715,0.138242,0.0719126,0.00346631,7.027e-05,0.0165495,0.00181437,4.73089e-05,0.0067794,0.000433893,0.0448674,
