Time[month],reactor_In[kg],Reactor_Out[kg],
0,163.8,0,
1,163.8,0,
2,163.8,0,
3,163.8,0,
4,163.8,0,
5,163.8,0,
6,163.8,0,
7,163.8,0,
8,163.8,0,
9,163.8,0,
10,163.8,0,
11,163.8,0,
12,218.4,54.6,
13,218.4,54.6,
14,218.4,54.6,
15,218.4,54.6,
16,218.4,54.6,
17,218.4,54.6,
18,218.4,54.6,
19,218.4,54.6,
20,218.4,54.6,
21,218.4,54.6,
22,218.4,54.6,
23,218.4,54.6,
24,273,109.2,
25,273,109.2,
26,273,109.2,
27,273,109.2,
28,273,109.2,
29,273,109.2,
30,273,109.2,
31,273,109.2,
32,273,109.2,
33,273,109.2,
34,273,109.2,
35,273,109.2,
36,327.6,163.8,
37,327.6,163.8,
38,327.6,163.8,
39,327.6,163.8,
40,327.6,163.8,
41,327.6,163.8,
42,327.6,163.8,
43,327.6,163.8,
44,327.6,163.8,
45,327.6,163.8,
46,327.6,163.8,
47,327.6,163.8,
48,382.2,218.4,
49,382.2,218.4,
50,382.2,218.4,
51,382.2,218.4,
52,382.2,218.4,
53,382.2,218.4,
54,382.2,218.4,
55,382.2,218.4,
56,382.2,218.4,
57,382.2,218.4,
58,382.2,218.4,
59,382.2,218.4,
60,436.8,273,
61,436.8,273,
62,436.8,273,
63,436.8,273,
64,436.8,273,
65,436.8,273,
66,436.8,273,
67,436.8,273,
68,436.8,273,
69,436.8,273,
70,436.8,273,
71,436.8,273,
72,491.4,327.6,
73,491.4,327.6,
74,491.4,327.6,
75,491.4,327.6,
76,491.4,327.6,
77,491.4,327.6,
78,491.4,327.6,
79,491.4,327.6,
80,491.4,327.6,
81,491.4,327.6,
82,491.4,327.6,
83,491.4,327.6,
84,546,382.2,
85,546,382.2,
86,546,382.2,
87,546,382.2,
88,546,382.2,
89,546,382.2,
90,546,382.2,
91,546,382.2,
92,546,382.2,
93,546,382.2,
94,546,382.2,
95,546,382.2,
96,600.6,436.8,
97,600.6,436.8,
98,600.6,436.8,
99,600.6,436.8,
100,600.6,436.8,
101,600.6,436.8,
102,600.6,436.8,
103,600.6,436.8,
104,600.6,436.8,
105,600.6,436.8,
106,600.6,436.8,
107,600.6,436.8,
108,655.2,491.4,
109,655.2,491.4,
110,655.2,491.4,
111,655.2,491.4,
112,655.2,491.4,
113,655.2,491.4,
114,655.2,491.4,
115,655.2,491.4,
116,655.2,491.4,
117,655.2,491.4,
118,655.2,491.4,
119,655.2,491.4,
120,709.8,546,
121,709.8,546,
122,709.8,546,
123,709.8,546,
124,709.8,546,
125,709.8,546,
