Time[month],reactor_In[kg],Reactor_Out[kg],
0,163.8,0,
1,218.4,54.6,
2,273,109.2,
3,327.6,163.8,
4,382.2,218.4,
5,436.8,273,
6,491.4,327.6,
7,546,382.2,
8,600.6,436.8,
9,655.2,491.4,
10,709.8,546,
11,764.4,600.6,
12,819,655.2,
13,873.6,709.8,
14,928.2,764.4,
15,982.8,819,
16,1037.4,873.6,
17,1092,928.2,
18,1146.6,982.8,
19,1201.2,1037.4,
20,1255.8,1092,
21,1310.4,1146.6,
22,1365,1201.2,
23,1419.6,1255.8,
24,1474.2,1310.4,
25,1528.8,1365,
26,1583.4,1419.6,
27,1638,1474.2,
28,1692.6,1528.8,
29,1747.2,1583.4,
30,1801.8,1638,
31,1856.4,1692.6,
32,1911,1747.2,
33,1965.6,1801.8,
34,2020.2,1856.4,
35,2074.8,1911,
36,2129.4,1965.6,
37,2184,2020.2,
38,2238.6,2074.8,
39,2293.2,2129.4,
40,2347.8,2184,
41,2402.4,2238.6,
42,2457,2293.2,
43,2511.6,2347.8,
44,2566.2,2402.4,
45,2620.8,2457,
46,2675.4,2511.6,
47,2730,2566.2,
48,2784.6,2620.8,
49,2839.2,2675.4,
50,2893.8,2730,
51,2948.4,2784.6,
52,3003,2839.2,
53,3057.6,2893.8,
54,3112.2,2948.4,
55,3166.8,3003,
56,3221.4,3057.6,
57,3276,3112.2,
58,3330.6,3166.8,
59,3385.2,3221.4,
60,3439.8,3276,
61,3494.4,3330.6,
62,3549,3385.2,
63,3603.6,3439.8,
64,3658.2,3494.4,
65,3712.8,3549,
66,3767.4,3603.6,
67,3822,3658.2,
68,3876.6,3712.8,
69,3931.2,3767.4,
70,3985.8,3822,
71,4040.4,3876.6,
72,4095,3931.2,
73,4149.6,3985.8,
74,4204.2,4040.4,
75,4258.8,4095,
76,4313.4,4149.6,
77,4368,4204.2,
78,4422.6,4258.8,
79,4477.2,4313.4,
80,4531.8,4368,
81,4586.4,4422.6,
82,4641,4477.2,
83,4695.6,4531.8,
84,4750.2,4586.4,
85,4804.8,4641,
86,4859.4,4695.6,
87,4914,4750.2,
88,4968.6,4804.8,
89,5023.2,4859.4,
90,5077.8,4914,
91,5132.4,4968.6,
92,5187,5023.2,
93,5241.6,5077.8,
94,5296.2,5132.4,
95,5350.8,5187,
96,5405.4,5241.6,
97,5460,5296.2,
98,5514.6,5350.8,
99,5569.2,5405.4,
100,5623.8,5460,
101,5678.4,5514.6,
102,5733,5569.2,
103,5787.6,5623.8,
104,5842.2,5678.4,
105,5896.8,5733,
106,5951.4,5787.6,
107,6006,5842.2,
108,6060.6,5896.8,
109,6115.2,5951.4,
110,6169.8,6006,
111,6224.4,6060.6,
112,6279,6115.2,
113,6333.6,6169.8,
114,6388.2,6224.4,
115,6442.8,6279,
116,6497.4,6333.6,
117,6552,6388.2,
118,6606.6,6442.8,
119,6661.2,6497.4,
120,6715.8,6552,
121,6770.4,6606.6,
122,6825,6661.2,
123,6879.6,6715.8,
124,6934.2,6770.4,
125,6988.8,6825,
126,7043.4,6879.6,
127,7098,6934.2,
128,7152.6,6988.8,
129,7207.2,7043.4,
130,7261.8,7098,
131,7316.4,7152.6,
132,7371,7207.2,
133,7425.6,7261.8,
134,7480.2,7316.4,
135,7534.8,7371,
136,7589.4,7425.6,
137,7644,7480.2,
138,7698.6,7534.8,
139,7753.2,7589.4,
140,7807.8,7644,
141,7862.4,7698.6,
142,7917,7753.2,
143,7971.6,7807.8,
144,8026.2,7862.4,
145,8080.8,7917,
146,8135.4,7971.6,
147,8190,8026.2,
148,8244.6,8080.8,
149,8299.2,8135.4,
150,8353.8,8190,
151,8408.4,8244.6,
152,8463,8299.2,
153,8517.6,8353.8,
154,8572.2,8408.4,
155,8626.8,8463,
156,8681.4,8517.6,
157,8736,8572.2,
158,8790.6,8626.8,
159,8845.2,8681.4,
160,8899.8,8736,
161,8954.4,8790.6,
162,9009,8845.2,
163,9063.6,8899.8,
164,9118.2,8954.4,
165,9172.8,9009,
166,9227.4,9063.6,
167,9282,9118.2,
168,9336.6,9172.8,
169,9391.2,9227.4,
170,9445.8,9282,
171,9500.4,9336.6,
172,9555,9391.2,
173,9609.6,9445.8,
174,9664.2,9500.4,
175,9718.8,9555,
176,9773.4,9609.6,
177,9828,9664.2,
178,9882.6,9718.8,
179,9937.2,9773.4,
180,9991.8,9828,
181,10046.4,9882.6,
182,10101,9937.2,
