Time[month],reactor_In[kg],Reactor_Out[kg],
0,164,0,
1,164,0,
2,164,0,
3,328,164,
4,328,164,
5,328,164,
6,492,328,
7,492,328,
8,492,328,
9,656,492,
10,656,492,
11,656,492,
12,820,656,
13,820,656,
14,820,656,
15,984,820,
16,984,820,
17,984,820,
18,1148,984,
19,1148,984,
20,1148,984,
21,1312,1148,
22,1312,1148,
23,1312,1148,
24,1476,1312,
25,1476,1312,
26,1476,1312,
27,1640,1476,
28,1640,1476,
29,1640,1476,
30,1804,1640,
31,1804,1640,
32,1804,1640,
33,1968,1804,
34,1968,1804,
35,1968,1804,
36,2132,1968,
37,2132,1968,
38,2132,1968,
39,2296,2132,
40,2296,2132,
41,2296,2132,
42,2460,2296,
43,2460,2296,
44,2460,2296,
45,2624,2460,
46,2624,2460,
47,2624,2460,
48,2788,2624,
49,2788,2624,
50,2788,2624,
51,2952,2788,
52,2952,2788,
53,2952,2788,
54,3116,2952,
55,3116,2952,
56,3116,2952,
57,3280,3116,
58,3280,3116,
59,3280,3116,
60,3444,3280,
61,3444,3280,
62,3444,3280,
63,3608,3444,
64,3608,3444,
65,3608,3444,
66,3772,3608,
67,3772,3608,
68,3772,3608,
69,3936,3772,
70,3936,3772,
71,3936,3772,
72,4100,3936,
73,4100,3936,
74,4100,3936,
75,4264,4100,
76,4264,4100,
77,4264,4100,
78,4428,4264,
79,4428,4264,
80,4428,4264,
81,4592,4428,
82,4592,4428,
83,4592,4428,
84,4756,4592,
85,4756,4592,
86,4756,4592,
87,4920,4756,
88,4920,4756,
89,4920,4756,
90,5084,4920,
91,5084,4920,
92,5084,4920,
93,5248,5084,
94,5248,5084,
95,5248,5084,
96,5412,5248,
97,5412,5248,
98,5412,5248,
99,5576,5412,
100,5576,5412,
101,5576,5412,
102,5740,5576,
103,5740,5576,
104,5740,5576,
105,5904,5740,
106,5904,5740,
107,5904,5740,
108,6068,5904,
109,6068,5904,
110,6068,5904,
111,6232,6068,
112,6232,6068,
113,6232,6068,
114,6396,6232,
115,6396,6232,
116,6396,6232,
117,6560,6396,
118,6560,6396,
119,6560,6396,
120,6724,6560,
121,6724,6560,
122,6724,6560,
123,6888,6724,
124,6888,6724,
125,6888,6724,
126,7052,6888,
127,7052,6888,
128,7052,6888,
129,7216,7052,
130,7216,7052,
131,7216,7052,
132,7380,7216,
133,7380,7216,
134,7380,7216,
135,7544,7380,
136,7544,7380,
137,7544,7380,
138,7708,7544,
139,7708,7544,
140,7708,7544,
141,7872,7708,
142,7872,7708,
143,7872,7708,
144,8036,7872,
145,8036,7872,
146,8036,7872,
147,8200,8036,
148,8200,8036,
149,8200,8036,
150,8364,8200,
151,8364,8200,
152,8364,8200,
