Time[month],reactor_In[kg],Reactor_Out[kg],
0,819,0,
1,1092,273,
2,1365,546,
3,1638,819,
4,1911,1092,
5,2184,1365,
6,2457,1638,
7,2730,1911,
8,3003,2184,
9,3276,2457,
10,3549,2730,
11,3822,3003,
12,4095,3276,
13,4368,3549,
14,4641,3822,
15,4914,4095,
16,5187,4368,
17,5460,4641,
18,5733,4914,
19,6006,5187,
20,6279,5460,
21,6552,5733,
22,6825,6006,
23,7098,6279,
24,7371,6552,
25,7644,6825,
26,7917,7098,
27,8190,7371,
28,8463,7644,
29,8736,7917,
30,9009,8190,
31,9282,8463,
32,9555,8736,
33,9828,9009,
34,10101,9282,
35,10374,9555,
36,10647,9828,
37,10920,10101,
38,11193,10374,
39,11466,10647,
40,11739,10920,
41,12012,11193,
42,12285,11466,
43,12558,11739,
44,12831,12012,
45,13104,12285,
46,13377,12558,
47,13650,12831,
48,13923,13104,
49,14196,13377,
50,14469,13650,
51,14742,13923,
52,15015,14196,
53,15288,14469,
54,15561,14742,
55,15834,15015,
56,16107,15288,
57,16380,15561,
58,16653,15834,
59,16926,16107,
60,17199,16380,
61,17472,16653,
62,17745,16926,
63,18018,17199,
64,18291,17472,
65,18564,17745,
66,18837,18018,
67,19110,18291,
68,19383,18564,
69,19656,18837,
70,19929,19110,
71,20202,19383,
72,20475,19656,
73,20748,19929,
74,21021,20202,
75,21294,20475,
76,21567,20748,
77,21840,21021,
78,22113,21294,
79,22386,21567,
80,22659,21840,
81,22932,22113,
82,23205,22386,
83,23478,22659,
84,23751,22932,
85,24024,23205,
86,24297,23478,
87,24570,23751,
88,24843,24024,
89,25116,24297,
90,25389,24570,
91,25662,24843,
92,25935,25116,
93,26208,25389,
94,26481,25662,
95,26754,25935,
96,27027,26208,
97,27300,26481,
98,27573,26754,
99,27846,27027,
100,28119,27300,
101,28392,27573,
102,28665,27846,
103,28938,28119,
104,29211,28392,
105,29484,28665,
106,29757,28938,
107,30030,29211,
108,30303,29484,
109,30576,29757,
110,30849,30030,
111,31122,30303,
112,31395,30576,
113,31668,30849,
114,31941,31122,
115,32214,31395,
116,32487,31668,
117,32760,31941,
118,33033,32214,
119,33306,32487,
120,33579,32760,
121,33852,33033,
122,34125,33306,
123,34398,33579,
124,34671,33852,
125,34944,34125,
126,35217,34398,
127,35490,34671,
128,35763,34944,
129,36036,35217,
130,36309,35490,
131,36582,35763,
132,36855,36036,
133,37128,36309,
134,37401,36582,
135,37674,36855,
136,37947,37128,
137,38220,37401,
138,38493,37674,
139,38766,37947,
140,39039,38220,
141,39312,38493,
142,39585,38766,
143,39858,39039,
144,40131,39312,
145,40404,39585,
146,40677,39858,
147,40950,40131,
148,41223,40404,
149,41496,40677,
150,41769,40950,
151,42042,41223,
152,42315,41496,
153,42588,41769,
154,42861,42042,
155,43134,42315,
156,43407,42588,
157,43680,42861,
158,43953,43134,
159,44226,43407,
160,44499,43680,
161,44772,43953,
162,45045,44226,
163,45318,44499,
164,45591,44772,
165,45864,45045,
166,46137,45318,
167,46410,45591,
168,46683,45864,
169,46956,46137,
170,47229,46410,
171,47502,46683,
172,47775,46956,
173,48048,47229,
174,48321,47502,
175,48594,47775,
176,48867,48048,
177,49140,48321,
178,49413,48594,
179,49686,48867,
180,49959,49140,
181,50232,49413,
182,50505,49686,
183,50778,49959,
184,51051,50232,
185,51324,50505,
186,51597,50778,
187,51870,51051,
188,52143,51324,
189,52416,51597,
190,52689,51870,
191,52962,52143,
192,53235,52416,
193,53508,52689,
194,53781,52962,
195,54054,53235,
196,54327,53508,
197,54600,53781,
198,54873,54054,
199,55146,54327,
200,55419,54600,
201,55692,54873,
202,55965,55146,
203,56238,55419,
204,56511,55692,
205,56784,55965,
206,57057,56238,
207,57330,56511,
208,57603,56784,
209,57876,57057,
210,58149,57330,
211,58422,57603,
212,58695,57876,
213,58968,58149,
214,59241,58422,
215,59514,58695,
216,59787,58968,
217,60060,59241,
218,60333,59514,
219,60606,59787,
220,60879,60060,
221,61152,60333,
222,61425,60606,
223,61698,60879,
224,61971,61152,
225,62244,61425,
226,62517,61698,
227,62790,61971,
228,63063,62244,
229,63336,62517,
230,63609,62790,
231,63882,63063,
232,64155,63336,
233,64428,63609,
234,64701,63882,
235,64974,64155,
236,65247,64428,
237,65520,64701,
238,65793,64974,
239,66066,65247,
240,66339,65520,
241,66612,65793,
242,66885,66066,
243,67158,66339,
244,67431,66612,
245,67704,66885,
246,67977,67158,
247,68250,67431,
248,68523,67704,
249,68796,67977,
250,69069,68250,
251,69342,68523,
252,69615,68796,
253,69888,69069,
254,70161,69342,
255,70434,69615,
256,70707,69888,
257,70980,70161,
258,71253,70434,
259,71526,70707,
260,71799,70980,
261,72072,71253,
262,72345,71526,
263,72618,71799,
264,72891,72072,
265,73164,72345,
266,73437,72618,
267,73710,72891,
268,73983,73164,
269,74256,73437,
270,74529,73710,
271,74802,73983,
272,75075,74256,
273,75348,74529,
274,75621,74802,
275,75894,75075,
276,76167,75348,
277,76440,75621,
278,76713,75894,
279,76986,76167,
280,77259,76440,
281,77532,76713,
282,77805,76986,
283,78078,77259,
284,78351,77532,
285,78624,77805,
286,78897,78078,
287,79170,78351,
288,79443,78624,
289,79716,78897,
290,79989,79170,
291,80262,79443,
292,80535,79716,
293,80808,79989,
294,81081,80262,
295,81354,80535,
296,81627,80808,
297,81900,81081,
298,82173,81354,
299,82446,81627,
300,82719,81900,
301,82992,82173,
302,83265,82446,
303,83538,82719,
304,83811,82992,
305,84084,83265,
306,84357,83538,
307,84630,83811,
308,84903,84084,
309,85176,84357,
310,85449,84630,
311,85722,84903,
312,85995,85176,
313,86268,85449,
314,86541,85722,
315,86814,85995,
316,87087,86268,
317,87360,86541,
318,87633,86814,
319,87906,87087,
320,88179,87360,
321,88452,87633,
322,88725,87906,
323,88998,88179,
324,89271,88452,
325,89544,88725,
326,89817,88998,
327,90090,89271,
328,90363,89544,
329,90636,89817,
330,90909,90090,
331,91182,90363,
332,91455,90636,
333,91728,90909,
334,92001,91182,
335,92274,91455,
336,92547,91728,
337,92820,92001,
338,93093,92274,
339,93366,92547,
340,93639,92820,
341,93912,93093,
342,94185,93366,
343,94458,93639,
344,94731,93912,
345,95004,94185,
346,95277,94458,
347,95550,94731,
348,95823,95004,
349,96096,95277,
350,96369,95550,
351,96642,95823,
352,96915,96096,
353,97188,96369,
354,97461,96642,
355,97734,96915,
356,98007,97188,
357,98280,97461,
358,98553,97734,
359,98826,98007,
360,99099,98280,
361,99372,98553,
362,99645,98826,
363,99918,99099,
364,100191,99372,
365,100464,99645,
366,100737,99918,
367,101010,100191,
368,101283,100464,
369,101556,100737,
370,101829,101010,
371,102102,101283,
372,102375,101556,
373,102648,101829,
374,102921,102102,
375,103194,102375,
376,103467,102648,
377,103740,102921,
378,104013,103194,
379,104286,103467,
380,104559,103740,
381,104832,104013,
382,105105,104286,
383,105378,104559,
384,105651,104832,
385,105924,105105,
386,106197,105378,
387,106470,105651,
388,106743,105924,
389,107016,106197,
390,107289,106470,
391,107562,106743,
392,107835,107016,
393,108108,107289,
394,108381,107562,
395,108654,107835,
396,108927,108108,
397,109200,108381,
398,109473,108654,
399,109746,108927,
400,110019,109200,
401,110292,109473,
402,110565,109746,
403,110838,110019,
404,111111,110292,
405,111384,110565,
406,111657,110838,
407,111930,111111,
408,112203,111384,
409,112476,111657,
410,112749,111930,
411,113022,112203,
412,113295,112476,
413,113568,112749,
414,113841,113022,
415,114114,113295,
416,114387,113568,
417,114660,113841,
418,114933,114114,
419,115206,114387,
420,115479,114660,
421,115752,114933,
422,116025,115206,
423,116298,115479,
424,116571,115752,
425,116844,116025,
426,117117,116298,
427,117390,116571,
428,117663,116844,
429,117936,117117,
430,118209,117390,
431,118482,117663,
432,118755,117936,
433,119028,118209,
434,119301,118482,
435,119574,118755,
436,119847,119028,
437,120120,119301,
438,120393,119574,
439,120666,119847,
440,120939,120120,
441,121212,120393,
442,121485,120666,
443,121758,120939,
444,122031,121212,
445,122304,121485,
446,122577,121758,
447,122850,122031,
448,123123,122304,
449,123396,122577,
450,123669,122850,
451,123942,123123,
452,124215,123396,
453,124488,123669,
454,124761,123942,
455,125034,124215,
456,125307,124488,
457,125580,124761,
458,125853,125034,
459,126126,125307,
460,126399,125580,
461,126672,125853,
462,126945,126126,
463,127218,126399,
464,127491,126672,
465,127764,126945,
466,128037,127218,
467,128310,127491,
468,128583,127764,
469,128856,128037,
470,129129,128310,
471,129402,128583,
472,129675,128856,
473,129948,129129,
474,130221,129402,
475,130494,129675,
476,130767,129948,
477,131040,130221,
478,131313,130494,
479,131586,130767,
480,131859,131040,
481,132132,131313,
482,132405,131586,
483,132678,131859,
484,132951,132132,
485,133224,132405,
486,133497,132678,
487,133770,132951,
488,134043,133224,
489,134316,133497,
490,134589,133770,
491,134862,134043,
492,135135,134316,
493,135408,134589,
494,135681,134862,
495,135954,135135,
496,136227,135408,
497,136500,135681,
498,136773,135954,
499,137046,136227,
500,137319,136500,
501,137592,136773,
502,137865,137046,
503,138138,137319,
504,138411,137592,
505,138684,137865,
506,138957,138138,
507,139230,138411,
508,139503,138684,
509,139776,138957,
510,140049,139230,
511,140322,139503,
512,140595,139776,
513,140868,140049,
514,141141,140322,
515,141414,140595,
516,141687,140868,
517,141960,141141,
518,142233,141414,
519,142506,141687,
520,142779,141960,
521,143052,142233,
522,143325,142506,
523,143598,142779,
524,143871,143052,
525,144144,143325,
526,144417,143598,
527,144690,143871,
528,144963,144144,
529,145236,144417,
530,145509,144690,
531,145782,144963,
532,146055,145236,
533,146328,145509,
534,146601,145782,
535,146874,146055,
536,147147,146328,
537,147420,146601,
538,147693,146874,
539,147966,147147,
540,148239,147420,
541,148512,147693,
542,148785,147966,
543,149058,148239,
544,149331,148512,
545,149604,148785,
546,149877,149058,
547,150150,149331,
548,150423,149604,
549,150696,149877,
550,150969,150150,
551,151242,150423,
552,151515,150696,
553,151788,150969,
554,152061,151242,
555,152334,151515,
556,152607,151788,
557,152880,152061,
558,153153,152334,
559,153426,152607,
560,153699,152880,
561,153972,153153,
562,154245,153426,
563,154518,153699,
564,154791,153972,
565,155064,154245,
566,155337,154518,
567,155610,154791,
568,155883,155064,
569,156156,155337,
570,156429,155610,
571,156702,155883,
572,156975,156156,
573,157248,156429,
574,157521,156702,
575,157794,156975,
576,158067,157248,
577,158340,157521,
578,158613,157794,
579,158886,158067,
580,159159,158340,
581,159432,158613,
582,159705,158886,
583,159978,159159,
584,160251,159432,
585,160524,159705,
586,160797,159978,
587,161070,160251,
588,161343,160524,
589,161616,160797,
590,161889,161070,
591,162162,161343,
592,162435,161616,
593,162708,161889,
594,162981,162162,
595,163254,162435,
596,163527,162708,
597,163800,162981,
598,164073,163254,
599,164346,163527,
600,164619,163800,
601,164892,164073,
602,165165,164346,
603,165438,164619,
604,165711,164892,
605,165984,165165,
606,166257,165438,
607,166530,165711,
608,166803,165984,
609,167076,166257,
610,167349,166530,
611,167622,166803,
612,167895,167076,
613,168168,167349,
614,168441,167622,
615,168714,167895,
616,168987,168168,
617,169260,168441,
618,169533,168714,
619,169806,168987,
620,170079,169260,
621,170352,169533,
622,170625,169806,
623,170898,170079,
624,171171,170352,
625,171444,170625,
626,171717,170898,
627,171990,171171,
628,172263,171444,
629,172536,171717,
630,172809,171990,
631,173082,172263,
632,173355,172536,
633,173628,172809,
634,173901,173082,
635,174174,173355,
636,174447,173628,
637,174720,173901,
638,174993,174174,
639,175266,174447,
640,175539,174720,
641,175812,174993,
642,176085,175266,
643,176358,175539,
644,176631,175812,
645,176904,176085,
646,177177,176358,
647,177450,176631,
648,177723,176904,
649,177996,177177,
650,178269,177450,
651,178542,177723,
652,178815,177996,
653,179088,178269,
654,179361,178542,
655,179634,178815,
656,179907,179088,
657,180180,179361,
658,180453,179634,
659,180726,179907,
660,180999,180180,
661,181272,180453,
662,181545,180726,
663,181818,180999,
664,182091,181272,
665,182364,181545,
666,182637,181818,
667,182910,182091,
668,183183,182364,
669,183456,182637,
670,183729,182910,
671,184002,183183,
672,184275,183456,
673,184548,183729,
674,184821,184002,
675,185094,184275,
676,185367,184548,
677,185640,184821,
678,185913,185094,
679,186186,185367,
680,186459,185640,
681,186732,185913,
682,187005,186186,
683,187278,186459,
684,187551,186732,
685,187824,187005,
686,188097,187278,
687,188370,187551,
688,188643,187824,
689,188916,188097,
690,189189,188370,
691,189462,188643,
692,189735,188916,
693,190008,189189,
694,190281,189462,
695,190554,189735,
696,190827,190008,
697,191100,190281,
698,191373,190554,
699,191646,190827,
700,191919,191100,
701,192192,191373,
702,192465,191646,
703,192738,191919,
704,193011,192192,
705,193284,192465,
706,193557,192738,
707,193830,193011,
708,194103,193284,
709,194376,193557,
710,194649,193830,
711,194922,194103,
712,195195,194376,
713,195468,194649,
714,195741,194922,
715,196014,195195,
716,196287,195468,
717,196560,195741,
718,196833,196014,
719,197106,196287,
720,197379,196560,
721,197652,196833,
722,197925,197106,
723,198198,197379,
724,198471,197652,
725,198744,197925,
726,199017,198198,
727,199290,198471,
728,199563,198744,
729,199836,199017,
730,200109,199290,
731,200382,199563,
732,200655,199836,
733,200928,200109,
734,201201,200382,
735,201474,200655,
736,201747,200928,
737,202020,201201,
738,202293,201474,
739,202566,201747,
740,202839,202020,
741,203112,202293,
742,203385,202566,
743,203658,202839,
744,203931,203112,
745,204204,203385,
746,204477,203658,
747,204750,203931,
748,205023,204204,
749,205296,204477,
750,205569,204750,
751,205842,205023,
752,206115,205296,
753,206388,205569,
754,206661,205842,
755,206934,206115,
756,207207,206388,
757,207480,206661,
758,207753,206934,
759,208026,207207,
760,208299,207480,
761,208572,207753,
762,208845,208026,
763,209118,208299,
764,209391,208572,
765,209664,208845,
766,209937,209118,
767,210210,209391,
768,210483,209664,
769,210756,209937,
770,211029,210210,
771,211302,210483,
772,211575,210756,
773,211848,211029,
774,212121,211302,
775,212394,211575,
776,212667,211848,
777,212940,212121,
778,213213,212394,
779,213486,212667,
780,213759,212940,
781,214032,213213,
782,214305,213486,
783,214578,213759,
784,214851,214032,
785,215124,214305,
786,215397,214578,
787,215670,214851,
788,215943,215124,
789,216216,215397,
790,216489,215670,
791,216762,215943,
792,217035,216216,
793,217308,216489,
794,217581,216762,
795,217854,217035,
796,218127,217308,
797,218400,217581,
798,218673,217854,
799,218946,218127,
800,219219,218400,
801,219492,218673,
802,219765,218946,
803,220038,219219,
804,220311,219492,
805,220584,219765,
806,220857,220038,
807,221130,220311,
808,221403,220584,
809,221676,220857,
810,221949,221130,
811,222222,221403,
812,222495,221676,
813,222768,221949,
814,223041,222222,
815,223314,222495,
816,223587,222768,
817,223860,223041,
818,224133,223314,
819,224406,223587,
820,224679,223860,
821,224952,224133,
822,225225,224406,
823,225498,224679,
824,225771,224952,
825,226044,225225,
826,226317,225498,
827,226590,225771,
828,226863,226044,
829,227136,226317,
830,227409,226590,
831,227682,226863,
832,227955,227136,
833,228228,227409,
834,228501,227682,
835,228774,227955,
836,229047,228228,
837,229320,228501,
838,229593,228774,
839,229866,229047,
840,230139,229320,
841,230412,229593,
842,230685,229866,
843,230958,230139,
844,231231,230412,
845,231504,230685,
846,231777,230958,
847,232050,231231,
848,232323,231504,
849,232596,231777,
850,232869,232050,
851,233142,232323,
852,233415,232596,
853,233688,232869,
854,233961,233142,
855,234234,233415,
856,234507,233688,
857,234780,233961,
858,235053,234234,
859,235326,234507,
860,235599,234780,
861,235872,235053,
862,236145,235326,
863,236418,235599,
864,236691,235872,
865,236964,236145,
866,237237,236418,
867,237510,236691,
868,237783,236964,
869,238056,237237,
870,238329,237510,
871,238602,237783,
872,238875,238056,
873,239148,238329,
874,239421,238602,
875,239694,238875,
876,239967,239148,
877,240240,239421,
878,240513,239694,
879,240786,239967,
880,241059,240240,
881,241332,240513,
882,241605,240786,
883,241878,241059,
884,242151,241332,
885,242424,241605,
886,242697,241878,
887,242970,242151,
888,243243,242424,
889,243516,242697,
890,243789,242970,
891,244062,243243,
892,244335,243516,
893,244608,243789,
894,244881,244062,
895,245154,244335,
896,245427,244608,
897,245700,244881,
898,245973,245154,
899,246246,245427,
900,246519,245700,
901,246792,245973,
902,247065,246246,
903,247338,246519,
904,247611,246792,
905,247884,247065,
906,248157,247338,
907,248430,247611,
908,248703,247884,
909,248976,248157,
910,249249,248430,
911,249522,248703,
912,249795,248976,
913,250068,249249,
914,250341,249522,
915,250614,249795,
916,250887,250068,
917,251160,250341,
918,251433,250614,
919,251706,250887,
920,251979,251160,
921,252252,251433,
922,252525,251706,
923,252798,251979,
924,253071,252252,
925,253344,252525,
926,253617,252798,
927,253890,253071,
928,254163,253344,
929,254436,253617,
930,254709,253890,
931,254982,254163,
932,255255,254436,
933,255528,254709,
934,255801,254982,
935,256074,255255,
936,256347,255528,
937,256620,255801,
938,256893,256074,
939,257166,256347,
940,257439,256620,
941,257712,256893,
942,257985,257166,
943,258258,257439,
944,258531,257712,
945,258804,257985,
946,259077,258258,
947,259350,258531,
948,259623,258804,
949,259896,259077,
950,260169,259350,
951,260442,259623,
952,260715,259896,
953,260988,260169,
954,261261,260442,
955,261534,260715,
956,261807,260988,
957,262080,261261,
958,262353,261534,
959,262626,261807,
960,262899,262080,
961,263172,262353,
962,263445,262626,
963,263718,262899,
964,263991,263172,
965,264264,263445,
