Time[month],reactor_In[kg],Reactor_Out[kg],
0,820,0,
1,820,0,
2,820,0,
3,1640,820,
4,1640,820,
5,1640,820,
6,2460,1640,
7,2460,1640,
8,2460,1640,
9,3280,2460,
10,3280,2460,
11,3280,2460,
12,4100,3280,
13,4100,3280,
14,4100,3280,
15,4920,4100,
16,4920,4100,
17,4920,4100,
18,5740,4920,
19,5740,4920,
20,5740,4920,
21,6560,5740,
22,6560,5740,
23,6560,5740,
24,7380,6560,
25,7380,6560,
26,7380,6560,
27,8200,7380,
28,8200,7380,
29,8200,7380,
30,9020,8200,
31,9020,8200,
32,9020,8200,
33,9840,9020,
34,9840,9020,
35,9840,9020,
36,10660,9840,
37,10660,9840,
38,10660,9840,
39,11480,10660,
40,11480,10660,
41,11480,10660,
42,12300,11480,
43,12300,11480,
44,12300,11480,
45,13120,12300,
46,13120,12300,
47,13120,12300,
48,13940,13120,
49,13940,13120,
50,13940,13120,
51,14760,13940,
52,14760,13940,
53,14760,13940,
54,15580,14760,
55,15580,14760,
56,15580,14760,
57,16400,15580,
58,16400,15580,
59,16400,15580,
60,17220,16400,
61,17220,16400,
62,17220,16400,
63,18040,17220,
64,18040,17220,
65,18040,17220,
66,18860,18040,
67,18860,18040,
68,18860,18040,
69,19680,18860,
70,19680,18860,
71,19680,18860,
72,20500,19680,
73,20500,19680,
74,20500,19680,
75,21320,20500,
76,21320,20500,
77,21320,20500,
78,22140,21320,
79,22140,21320,
80,22140,21320,
81,22960,22140,
82,22960,22140,
83,22960,22140,
84,23780,22960,
85,23780,22960,
86,23780,22960,
87,24600,23780,
88,24600,23780,
89,24600,23780,
90,25420,24600,
91,25420,24600,
92,25420,24600,
93,26240,25420,
94,26240,25420,
95,26240,25420,
96,27060,26240,
97,27060,26240,
98,27060,26240,
99,27880,27060,
100,27880,27060,
101,27880,27060,
102,28700,27880,
103,28700,27880,
104,28700,27880,
105,29520,28700,
106,29520,28700,
107,29520,28700,
108,30340,29520,
109,30340,29520,
110,30340,29520,
111,31160,30340,
112,31160,30340,
113,31160,30340,
114,31980,31160,
115,31980,31160,
116,31980,31160,
117,32800,31980,
118,32800,31980,
119,32800,31980,
120,33620,32800,
121,33620,32800,
122,33620,32800,
123,34440,33620,
124,34440,33620,
125,34440,33620,
126,35260,34440,
127,35260,34440,
128,35260,34440,
129,36080,35260,
130,36080,35260,
131,36080,35260,
132,36900,36080,
133,36900,36080,
134,36900,36080,
135,37720,36900,
136,37720,36900,
137,37720,36900,
138,38540,37720,
139,38540,37720,
140,38540,37720,
141,39360,38540,
142,39360,38540,
143,39360,38540,
144,40180,39360,
145,40180,39360,
146,40180,39360,
147,41000,40180,
148,41000,40180,
149,41000,40180,
150,41820,41000,
151,41820,41000,
152,41820,41000,
153,42640,41820,
154,42640,41820,
155,42640,41820,
156,43460,42640,
157,43460,42640,
158,43460,42640,
159,44280,43460,
160,44280,43460,
161,44280,43460,
162,45100,44280,
163,45100,44280,
164,45100,44280,
165,45920,45100,
166,45920,45100,
167,45920,45100,
168,46740,45920,
169,46740,45920,
170,46740,45920,
171,47560,46740,
172,47560,46740,
173,47560,46740,
174,48380,47560,
175,48380,47560,
176,48380,47560,
177,49200,48380,
178,49200,48380,
179,49200,48380,
180,50020,49200,
181,50020,49200,
182,50020,49200,
183,50840,50020,
184,50840,50020,
185,50840,50020,
186,51660,50840,
187,51660,50840,
188,51660,50840,
189,52480,51660,
190,52480,51660,
191,52480,51660,
192,53300,52480,
193,53300,52480,
194,53300,52480,
195,54120,53300,
196,54120,53300,
197,54120,53300,
198,54940,54120,
199,54940,54120,
200,54940,54120,
201,55760,54940,
202,55760,54940,
203,55760,54940,
204,56580,55760,
205,56580,55760,
206,56580,55760,
207,57400,56580,
208,57400,56580,
209,57400,56580,
210,58220,57400,
211,58220,57400,
212,58220,57400,
213,59040,58220,
214,59040,58220,
215,59040,58220,
216,59860,59040,
217,59860,59040,
218,59860,59040,
219,60680,59860,
220,60680,59860,
221,60680,59860,
222,61500,60680,
223,61500,60680,
224,61500,60680,
225,62320,61500,
226,62320,61500,
227,62320,61500,
228,63140,62320,
229,63140,62320,
230,63140,62320,
231,63960,63140,
232,63960,63140,
233,63960,63140,
234,64780,63960,
235,64780,63960,
236,64780,63960,
237,65600,64780,
238,65600,64780,
239,65600,64780,
240,66420,65600,
241,66420,65600,
242,66420,65600,
243,67240,66420,
244,67240,66420,
245,67240,66420,
246,68060,67240,
247,68060,67240,
248,68060,67240,
249,68880,68060,
250,68880,68060,
251,68880,68060,
252,69700,68880,
253,69700,68880,
254,69700,68880,
255,70520,69700,
256,70520,69700,
257,70520,69700,
258,71340,70520,
259,71340,70520,
260,71340,70520,
261,72160,71340,
262,72160,71340,
263,72160,71340,
264,72980,72160,
265,72980,72160,
266,72980,72160,
267,73800,72980,
268,73800,72980,
269,73800,72980,
270,74620,73800,
271,74620,73800,
272,74620,73800,
273,75440,74620,
274,75440,74620,
275,75440,74620,
276,76260,75440,
277,76260,75440,
278,76260,75440,
279,77080,76260,
280,77080,76260,
281,77080,76260,
282,77900,77080,
283,77900,77080,
284,77900,77080,
285,78720,77900,
286,78720,77900,
287,78720,77900,
288,79540,78720,
289,79540,78720,
290,79540,78720,
291,80360,79540,
292,80360,79540,
293,80360,79540,
294,81180,80360,
295,81180,80360,
296,81180,80360,
297,82000,81180,
298,82000,81180,
299,82000,81180,
300,82820,82000,
301,82820,82000,
302,82820,82000,
303,83640,82820,
304,83640,82820,
305,83640,82820,
306,84460,83640,
307,84460,83640,
308,84460,83640,
309,85280,84460,
310,85280,84460,
311,85280,84460,
312,86100,85280,
313,86100,85280,
314,86100,85280,
315,86920,86100,
316,86920,86100,
317,86920,86100,
318,87740,86920,
319,87740,86920,
320,87740,86920,
321,88560,87740,
322,88560,87740,
323,88560,87740,
324,89380,88560,
325,89380,88560,
326,89380,88560,
327,90200,89380,
328,90200,89380,
329,90200,89380,
330,91020,90200,
331,91020,90200,
332,91020,90200,
333,91840,91020,
334,91840,91020,
335,91840,91020,
336,92660,91840,
337,92660,91840,
338,92660,91840,
339,93480,92660,
340,93480,92660,
341,93480,92660,
342,94300,93480,
343,94300,93480,
344,94300,93480,
345,95120,94300,
346,95120,94300,
347,95120,94300,
348,95940,95120,
349,95940,95120,
350,95940,95120,
351,96760,95940,
352,96760,95940,
353,96760,95940,
354,97580,96760,
355,97580,96760,
356,97580,96760,
357,98400,97580,
358,98400,97580,
359,98400,97580,
360,99220,98400,
361,99220,98400,
362,99220,98400,
363,100040,99220,
364,100040,99220,
365,100040,99220,
366,100860,100040,
367,100860,100040,
368,100860,100040,
369,101680,100860,
370,101680,100860,
371,101680,100860,
372,102500,101680,
373,102500,101680,
374,102500,101680,
375,103320,102500,
376,103320,102500,
377,103320,102500,
378,104140,103320,
379,104140,103320,
380,104140,103320,
381,104960,104140,
382,104960,104140,
383,104960,104140,
384,105780,104960,
385,105780,104960,
386,105780,104960,
387,106600,105780,
388,106600,105780,
389,106600,105780,
390,107420,106600,
391,107420,106600,
392,107420,106600,
393,108240,107420,
394,108240,107420,
395,108240,107420,
396,109060,108240,
397,109060,108240,
398,109060,108240,
399,109880,109060,
400,109880,109060,
401,109880,109060,
402,110700,109880,
403,110700,109880,
404,110700,109880,
405,111520,110700,
406,111520,110700,
407,111520,110700,
408,112340,111520,
409,112340,111520,
410,112340,111520,
411,113160,112340,
412,113160,112340,
413,113160,112340,
414,113980,113160,
415,113980,113160,
416,113980,113160,
417,114800,113980,
418,114800,113980,
419,114800,113980,
420,115620,114800,
421,115620,114800,
422,115620,114800,
423,116440,115620,
424,116440,115620,
425,116440,115620,
426,117260,116440,
427,117260,116440,
428,117260,116440,
429,118080,117260,
430,118080,117260,
431,118080,117260,
432,118900,118080,
433,118900,118080,
434,118900,118080,
435,119720,118900,
436,119720,118900,
437,119720,118900,
438,120540,119720,
439,120540,119720,
440,120540,119720,
441,121360,120540,
442,121360,120540,
443,121360,120540,
444,122180,121360,
445,122180,121360,
446,122180,121360,
447,123000,122180,
448,123000,122180,
449,123000,122180,
450,123820,123000,
451,123820,123000,
452,123820,123000,
453,124640,123820,
454,124640,123820,
455,124640,123820,
456,125460,124640,
457,125460,124640,
458,125460,124640,
459,126280,125460,
460,126280,125460,
461,126280,125460,
462,127100,126280,
463,127100,126280,
464,127100,126280,
465,127920,127100,
466,127920,127100,
467,127920,127100,
468,128740,127920,
469,128740,127920,
470,128740,127920,
471,129560,128740,
472,129560,128740,
473,129560,128740,
474,130380,129560,
475,130380,129560,
476,130380,129560,
477,131200,130380,
478,131200,130380,
479,131200,130380,
480,132020,131200,
481,132020,131200,
482,132020,131200,
483,132840,132020,
484,132840,132020,
485,132840,132020,
486,133660,132840,
487,133660,132840,
488,133660,132840,
489,134480,133660,
490,134480,133660,
491,134480,133660,
492,135300,134480,
493,135300,134480,
494,135300,134480,
495,136120,135300,
496,136120,135300,
497,136120,135300,
498,136940,136120,
499,136940,136120,
500,136940,136120,
501,137760,136940,
502,137760,136940,
503,137760,136940,
504,138580,137760,
505,138580,137760,
506,138580,137760,
507,139400,138580,
508,139400,138580,
509,139400,138580,
510,140220,139400,
511,140220,139400,
512,140220,139400,
513,141040,140220,
514,141040,140220,
515,141040,140220,
516,141860,141040,
517,141860,141040,
518,141860,141040,
519,142680,141860,
520,142680,141860,
521,142680,141860,
522,143500,142680,
523,143500,142680,
524,143500,142680,
525,144320,143500,
526,144320,143500,
527,144320,143500,
528,145140,144320,
529,145140,144320,
530,145140,144320,
531,145960,145140,
532,145960,145140,
533,145960,145140,
534,146780,145960,
535,146780,145960,
536,146780,145960,
537,147600,146780,
538,147600,146780,
539,147600,146780,
540,148420,147600,
541,148420,147600,
542,148420,147600,
543,149240,148420,
544,149240,148420,
545,149240,148420,
546,150060,149240,
547,150060,149240,
548,150060,149240,
549,150880,150060,
550,150880,150060,
551,150880,150060,
552,151700,150880,
553,151700,150880,
554,151700,150880,
555,152520,151700,
556,152520,151700,
557,152520,151700,
558,153340,152520,
559,153340,152520,
560,153340,152520,
561,154160,153340,
562,154160,153340,
563,154160,153340,
564,154980,154160,
565,154980,154160,
566,154980,154160,
567,155800,154980,
568,155800,154980,
569,155800,154980,
570,156620,155800,
571,156620,155800,
572,156620,155800,
573,157440,156620,
574,157440,156620,
575,157440,156620,
576,158260,157440,
577,158260,157440,
578,158260,157440,
579,159080,158260,
580,159080,158260,
581,159080,158260,
582,159900,159080,
583,159900,159080,
584,159900,159080,
585,160720,159900,
586,160720,159900,
587,160720,159900,
588,161540,160720,
589,161540,160720,
590,161540,160720,
591,162360,161540,
592,162360,161540,
593,162360,161540,
594,163180,162360,
595,163180,162360,
596,163180,162360,
597,164000,163180,
598,164000,163180,
599,164000,163180,
600,164820,164000,
601,164820,164000,
602,164820,164000,
603,165640,164820,
604,165640,164820,
605,165640,164820,
606,166460,165640,
607,166460,165640,
608,166460,165640,
609,167280,166460,
610,167280,166460,
611,167280,166460,
612,168100,167280,
613,168100,167280,
614,168100,167280,
615,168920,168100,
616,168920,168100,
617,168920,168100,
618,169740,168920,
619,169740,168920,
620,169740,168920,
621,170560,169740,
622,170560,169740,
623,170560,169740,
624,171380,170560,
625,171380,170560,
626,171380,170560,
627,172200,171380,
628,172200,171380,
629,172200,171380,
630,173020,172200,
631,173020,172200,
632,173020,172200,
633,173840,173020,
634,173840,173020,
635,173840,173020,
636,174660,173840,
637,174660,173840,
638,174660,173840,
639,175480,174660,
640,175480,174660,
641,175480,174660,
642,176300,175480,
643,176300,175480,
644,176300,175480,
645,177120,176300,
646,177120,176300,
647,177120,176300,
648,177940,177120,
649,177940,177120,
650,177940,177120,
651,178760,177940,
652,178760,177940,
653,178760,177940,
654,179580,178760,
655,179580,178760,
656,179580,178760,
657,180400,179580,
658,180400,179580,
659,180400,179580,
660,181220,180400,
661,181220,180400,
662,181220,180400,
663,182040,181220,
664,182040,181220,
665,182040,181220,
666,182860,182040,
667,182860,182040,
668,182860,182040,
669,183680,182860,
670,183680,182860,
671,183680,182860,
672,184500,183680,
673,184500,183680,
674,184500,183680,
675,185320,184500,
676,185320,184500,
677,185320,184500,
678,186140,185320,
679,186140,185320,
680,186140,185320,
681,186960,186140,
682,186960,186140,
683,186960,186140,
684,187780,186960,
685,187780,186960,
686,187780,186960,
687,188600,187780,
688,188600,187780,
689,188600,187780,
690,189420,188600,
691,189420,188600,
692,189420,188600,
693,190240,189420,
694,190240,189420,
695,190240,189420,
696,191060,190240,
697,191060,190240,
698,191060,190240,
699,191880,191060,
700,191880,191060,
701,191880,191060,
702,192700,191880,
703,192700,191880,
704,192700,191880,
705,193520,192700,
706,193520,192700,
707,193520,192700,
708,194340,193520,
709,194340,193520,
710,194340,193520,
711,195160,194340,
712,195160,194340,
713,195160,194340,
714,195980,195160,
715,195980,195160,
716,195980,195160,
717,196800,195980,
718,196800,195980,
719,196800,195980,
720,197620,196800,
721,197620,196800,
722,197620,196800,
723,198440,197620,
724,198440,197620,
725,198440,197620,
726,199260,198440,
727,199260,198440,
728,199260,198440,
729,200080,199260,
730,200080,199260,
731,200080,199260,
732,200900,200080,
733,200900,200080,
734,200900,200080,
735,201720,200900,
736,201720,200900,
737,201720,200900,
738,202540,201720,
739,202540,201720,
740,202540,201720,
741,203360,202540,
742,203360,202540,
743,203360,202540,
744,204180,203360,
745,204180,203360,
746,204180,203360,
747,205000,204180,
748,205000,204180,
749,205000,204180,
750,205820,205000,
751,205820,205000,
752,205820,205000,
753,206640,205820,
754,206640,205820,
755,206640,205820,
756,207460,206640,
757,207460,206640,
758,207460,206640,
759,208280,207460,
760,208280,207460,
761,208280,207460,
762,209100,208280,
763,209100,208280,
764,209100,208280,
765,209920,209100,
766,209920,209100,
767,209920,209100,
768,210740,209920,
769,210740,209920,
770,210740,209920,
771,211560,210740,
772,211560,210740,
773,211560,210740,
774,212380,211560,
775,212380,211560,
776,212380,211560,
777,213200,212380,
778,213200,212380,
779,213200,212380,
780,214020,213200,
781,214020,213200,
782,214020,213200,
783,214840,214020,
784,214840,214020,
785,214840,214020,
786,215660,214840,
787,215660,214840,
788,215660,214840,
789,216480,215660,
790,216480,215660,
791,216480,215660,
792,217300,216480,
793,217300,216480,
794,217300,216480,
795,218120,217300,
796,218120,217300,
797,218120,217300,
798,218940,218120,
799,218940,218120,
800,218940,218120,
801,219760,218940,
802,219760,218940,
803,219760,218940,
804,220580,219760,
805,220580,219760,
806,220580,219760,
807,221400,220580,
808,221400,220580,
809,221400,220580,
810,222220,221400,
811,222220,221400,
812,222220,221400,
813,223040,222220,
814,223040,222220,
815,223040,222220,
816,223860,223040,
817,223860,223040,
818,223860,223040,
819,224680,223860,
820,224680,223860,
821,224680,223860,
822,225500,224680,
823,225500,224680,
824,225500,224680,
825,226320,225500,
826,226320,225500,
827,226320,225500,
828,227140,226320,
829,227140,226320,
830,227140,226320,
831,227960,227140,
832,227960,227140,
833,227960,227140,
834,228780,227960,
835,228780,227960,
836,228780,227960,
837,229600,228780,
838,229600,228780,
839,229600,228780,
840,230420,229600,
841,230420,229600,
842,230420,229600,
843,231240,230420,
844,231240,230420,
845,231240,230420,
846,232060,231240,
847,232060,231240,
848,232060,231240,
849,232880,232060,
850,232880,232060,
851,232880,232060,
852,233700,232880,
